Year,Glob,NHem,SHem,24N-90N,24S-24N,90S-24S,64N-90N,44N-64N,24N-44N,EQU-24N,24S-EQU,44S-24S,64S-44S,90S-64S
1880,-.16,-.28,-.03,-.37,-.12,-.01,-.80,-.48,-.27,-.15,-.08,-.03,.05,.65
1881,-.08,-.18,.01,-.34,.11,-.06,-.91,-.44,-.20,.09,.13,-.04,-.07,.58
1882,-.11,-.22,.00,-.32,-.04,.02,-1.41,-.26,-.16,-.05,-.03,.02,.04,.61
1883,-.17,-.29,-.05,-.35,-.16,-.01,-.19,-.55,-.28,-.18,-.13,-.03,.07,.48
1884,-.28,-.43,-.14,-.61,-.14,-.14,-1.30,-.63,-.48,-.14,-.14,-.19,-.02,.63
1885,-.33,-.44,-.23,-.66,-.12,-.27,-1.51,-.67,-.47,-.07,-.18,-.33,-.15,.80
1886,-.31,-.43,-.19,-.57,-.19,-.21,-1.59,-.50,-.41,-.22,-.16,-.20,-.21,.57
1887,-.36,-.44,-.28,-.53,-.29,-.28,-1.77,-.51,-.30,-.29,-.28,-.27,-.26,.30
1888,-.17,-.23,-.11,-.42,.11,-.29,-1.31,-.42,-.25,.07,.14,-.31,-.23,.14
1889,-.10,-.18,-.03,-.30,.09,-.16,-.69,-.22,-.28,.02,.16,-.15,-.15,.43
1890,-.35,-.38,-.31,-.46,-.36,-.22,-1.14,-.55,-.27,-.27,-.45,-.17,-.27,.13
1891,-.22,-.26,-.18,-.43,-.07,-.21,-1.13,-.34,-.37,.00,-.14,-.18,-.24,-.18
1892,-.27,-.40,-.15,-.44,-.29,-.08,-1.16,-.65,-.18,-.33,-.24,.02,-.21,.07
1893,-.31,-.48,-.14,-.52,-.35,-.05,-.71,-.55,-.47,-.41,-.29,.07,-.20,-.06
1894,-.30,-.39,-.21,-.33,-.32,-.24,-.96,-.32,-.19,-.48,-.17,-.14,-.35,-.40
1895,-.22,-.30,-.14,-.40,-.06,-.26,-.68,-.52,-.27,-.14,.02,-.19,-.32,-.60
1896,-.11,-.19,-.02,-.35,.10,-.15,-.88,-.36,-.23,.06,.15,-.14,-.13,.23
1897,-.10,-.16,-.04,-.35,.18,-.23,-.56,-.46,-.24,.14,.22,-.18,-.27,.38
1898,-.27,-.29,-.25,-.35,-.21,-.26,-1.17,-.24,-.24,-.18,-.24,-.27,-.21,.36
1899,-.17,-.22,-.13,-.25,-.11,-.18,-1.07,-.10,-.15,-.16,-.06,-.15,-.22,.56
1900,-.08,-.09,-.06,-.21,.17,-.30,-.58,-.16,-.16,.09,.26,-.28,-.29,.25
1901,-.15,-.13,-.17,-.17,-.03,-.30,-.45,-.11,-.15,-.06,.00,-.27,-.34,.24
1902,-.28,-.34,-.21,-.54,-.03,-.35,-1.42,-.51,-.33,-.02,-.04,-.28,-.43,-.07
1903,-.37,-.38,-.36,-.47,-.28,-.38,-.30,-.42,-.56,-.24,-.32,-.35,-.40,-.49
1904,-.46,-.48,-.45,-.51,-.45,-.44,-.19,-.59,-.55,-.43,-.46,-.37,-.49,-1.32
1905,-.26,-.29,-.21,-.41,-.07,-.35,-.07,-.22,-.62,-.12,-.02,-.32,-.37,-.33
1906,-.22,-.24,-.19,-.26,-.18,-.23,-.28,-.06,-.39,-.22,-.14,-.20,-.23,-.71
1907,-.38,-.48,-.28,-.59,-.29,-.29,-.60,-.72,-.52,-.31,-.28,-.21,-.37,-1.20
1908,-.42,-.46,-.39,-.48,-.43,-.36,-.26,-.55,-.52,-.43,-.43,-.29,-.48,.68
1909,-.48,-.50,-.46,-.54,-.46,-.44,-.77,-.62,-.43,-.44,-.49,-.37,-.52,-.57
1910,-.43,-.44,-.42,-.42,-.47,-.38,-.60,-.24,-.49,-.48,-.47,-.33,-.45,.16
1911,-.43,-.42,-.44,-.42,-.41,-.48,-.31,-.42,-.47,-.42,-.39,-.44,-.53,.05
1912,-.35,-.46,-.23,-.60,-.16,-.37,-.54,-.79,-.50,-.27,-.05,-.36,-.29,-1.63
1913,-.34,-.42,-.25,-.44,-.25,-.35,-.52,-.33,-.50,-.39,-.11,-.28,-.40,-1.04
1914,-.15,-.19,-.09,-.25,-.04,-.17,-.39,-.16,-.28,-.11,.02,-.15,-.18,-.36
1915,-.13,-.14,-.12,-.24,.00,-.22,-.62,-.17,-.18,-.01,.02,-.15,-.23,-1.98
1916,-.35,-.42,-.29,-.37,-.44,-.23,-.50,-.54,-.24,-.50,-.37,-.23,-.17,-1.05
1917,-.46,-.58,-.34,-.50,-.62,-.19,-.84,-.50,-.43,-.69,-.55,-.23,-.10,.06
1918,-.29,-.40,-.19,-.41,-.32,-.14,-1.03,-.27,-.35,-.39,-.26,-.06,-.23,-.28
1919,-.27,-.35,-.19,-.44,-.19,-.22,-.72,-.56,-.30,-.23,-.15,-.14,-.32,.20
1920,-.27,-.30,-.23,-.25,-.25,-.32,-.03,-.20,-.35,-.38,-.11,-.19,-.48,-1.14
1921,-.19,-.11,-.25,.01,-.24,-.31,-.02,.17,-.09,-.30,-.19,-.22,-.38,-.84
1922,-.28,-.28,-.29,-.25,-.32,-.27,-.34,-.41,-.13,-.33,-.30,-.24,-.29,-.28
1923,-.26,-.22,-.30,-.15,-.29,-.33,.14,-.15,-.25,-.32,-.26,-.26,-.41,-.55
1924,-.27,-.19,-.35,-.13,-.25,-.43,.44,-.25,-.22,-.27,-.23,-.39,-.45,-.53
1925,-.22,-.14,-.29,-.04,-.23,-.37,-.10,.18,-.17,-.28,-.19,-.24,-.55,-.86
1926,-.10,.02,-.21,.03,.02,-.40,.55,.16,-.21,.00,.04,-.34,-.45,-.63
1927,-.21,-.13,-.29,-.13,-.15,-.38,.02,-.22,-.12,-.14,-.16,-.30,-.45,-1.38
1928,-.20,-.10,-.29,-.07,-.15,-.39,.70,-.17,-.22,-.15,-.15,-.28,-.48,-2.12
1929,-.36,-.33,-.37,-.37,-.27,-.45,.13,-.61,-.38,-.28,-.27,-.42,-.45,-1.08
